GlucResp	GlucOsc	KClOsc	BaseOsc	BasePeaks	GlucPeaks	KClPeaks	KClResp	Cluster	Cell
1.09896452215244	0.0565319117647059	0.0467205882352941	0.00404911764705881	0	20	4	1.25399159663866	3	Image26_Cell1
0.0504921618665694	0.023165625	0.0914432565789475	0.00934753289473683	0	1	3	1.47368421052632	1	Image26_Cell2
0.858359402155023	0.228874123568205	0.0510753384241584	0.00926303366886496	0	7	3	0.889101006594932	5	Image26_Cell3
0.535387177352206	0.221163379575464	0.0287450442921611	0.00396483369547054	0	11	3	0.966906234330604	1	Image26_Cell4
0.660304885367903	0.245995113382306	0.152711114659853	0.00520875119770043	0	8	5	1.28233791121048	9	Image26_Cell5
0.0426197929207802	0.0234094736842105	0.113145789473684	0.0128522600619195	0	4	3	1.52507739938081	1	Image26_Cell6
0.25332431823304	0.240513411078717	0.0404457725947522	0.00833615160349848	0	5	3	1.35860058309038	1	Image26_Cell7
0.480931586608442	0.184391679439457	0.14154009196409	0.0470718195752134	0	12	3	1.45281366323626	6	Image26_Cell8
0.0734323432343234	0.0338419565217391	0.0662514492753624	0.0107434782608696	0	15	3	1.39444444444444	1	Image26_Cell9
0.0534931980631773	0.0293093065693431	0.0728223540145985	0.0117237226277373	0	10	4	1.48023114355231	1	Image26_Cell10
0.322187141216992	0.144876034236805	0.0861853780313837	0.00766679743223962	0	11	4	1.24108416547789	1	Image26_Cell11
0.887106184364061	0.0884227634873663	0.062435920783064	0.0124871841566128	0	20	3	1.27384475301616	3	Image26_Cell12
0.71847619047619	0.194808239375542	0.0907604943625324	0.00707224631396357	0	9	2	1.27132119109569	9	Image26_Cell13
0.149049564753953	0.0912369230769231	0.0881265734265731	0.0369786013986014	6	23	4	1.54125874125874	7	Image26_Cell14
0.755532413434002	0.0415519076778143	0.0888652143193595	0.006983513895431	0	23	2	1.42934526613283	3	Image26_Cell15
0.983511586452763	0.121034731270358	0.106546783387622	0.00633847719869704	0	17	3	1.31738599348534	3	Image26_Cell16
0.771416019915068	0.0888129455909944	0.0433136960600374	0.0115238273921201	0	14	4	1.45966228893058	3	Image26_Cell17
0.354337899543379	0.348441632231405	0.0799501239669425	0.0119465702479338	5	9	1	1.37582644628099	5	Image26_Cell18
1.10154320987654	0.0951082625659858	0.0978305026394309	0.352530089511132	4	21	3	1.6456277254992	10	Image26_Cell19
0.0418192918192918	0.016393486822175	0.103076855498334	0.0170671917600727	7	27	2	1.35595274159346	5	Image26_Cell20
0.681656804733728	0.103003391684902	0.0640729759299782	0.00621805251641137	0	13	3	1.30160466812546	9	Image26_Cell21
0.623638918159466	0.293461591355599	0.0604399803536345	0.00873831041257368	0	11	3	1.23752455795678	9	Image26_Cell22
0.361963190184049	0.238766327623126	0.0538381691648822	0.00396841541755889	0	14	3	1.35528194147038	1	Image26_Cell23
0.848539814982768	0.247292258315503	0.106847558840692	0.00720968683135577	0	12	2	1.2359463139467	9	Image26_Cell24
0.860460021905805	0.120273322932917	0.0543542901716069	0.0185035881435257	1	17	3	1.35179407176287	5	Image26_Cell25
0.179301533219761	0.0439361211722095	0.181602634178466	0.0170862693447481	10	23	4	1.40763911755021	7	Image26_Cell26
