"","diff","lwr","upr","p adj"
"No Cre:KClPeaks-KO:BaseOsc",2.56021413076532,2.22354020232447,2.89688805920618,0
"HET:KClPeaks-KO:BaseOsc",2.48773731922657,2.19989278158618,2.77558185686695,0
"KO:KClPeaks-KO:BaseOsc",2.6730451623154,2.37487811524635,2.97121220938446,0
"No Cre:KClResp-KO:BaseOsc",1.25456235861221,0.917888430171349,1.59123628705306,0
"HET:KClResp-KO:BaseOsc",1.2591518726723,0.971307335031913,1.54699641031268,0
"KO:KClResp-KO:BaseOsc",1.24580998481953,0.94764293775047,1.54397703188859,0
"HET:BasePeaks-No Cre:BasePeaks",0.244203202529697,-0.0833639264428618,0.571770331502257,0.506817747228603
"KO:BasePeaks-No Cre:BasePeaks",0.0480004943959,-0.288673434044957,0.384674422836758,0.999999999998562
"No Cre:GlucOsc-No Cre:BasePeaks",-0.577580160732014,-0.948787757941066,-0.206372563522962,4.12603806487777e-06
"HET:GlucOsc-No Cre:BasePeaks",-0.588337882674493,-0.915905011647052,-0.260770753701934,1.7769865134909e-08
"KO:GlucOsc-No Cre:BasePeaks",-0.572389970818925,-0.909063899259782,-0.235716042378067,1.71756007749657e-07
"No Cre:GlucPeaks-No Cre:BasePeaks",10.6091245376064,10.2379169403973,10.9803321348155,0
"HET:GlucPeaks-No Cre:BasePeaks",12.2036533743557,11.8760862453831,12.5312205033282,0
"KO:GlucPeaks-No Cre:BasePeaks",11.1697188714908,10.83304494305,11.5063927999317,0
"No Cre:GlucResp-No Cre:BasePeaks",-0.265620884769489,-0.636828481978541,0.105586712439563,0.594874565248809
"HET:GlucResp-No Cre:BasePeaks",-0.0849906313073288,-0.412557760279888,0.24257649766523,0.999999589063476
"KO:GlucResp-No Cre:BasePeaks",-0.250156254408106,-0.586830182848963,0.0865176740327518,0.514088714463014
"No Cre:KClOsc-No Cre:BasePeaks",-0.638066149422981,-1.00927374663203,-0.266858552213929,1.11279574777079e-07
"HET:KClOsc-No Cre:BasePeaks",-0.647025504599021,-0.97459263357158,-0.319458375626461,1.86251014611116e-10
"KO:KClOsc-No Cre:BasePeaks",-0.632786151441036,-0.969460079881894,-0.296112223000179,2.24022012051961e-09
"No Cre:KClPeaks-No Cre:BasePeaks",1.83970406905159,1.46849647184253,2.21091166626064,0
"HET:KClPeaks-No Cre:BasePeaks",1.76722725751283,1.43966012854027,2.09479438648539,0
"KO:KClPeaks-No Cre:BasePeaks",1.95253510060166,1.61586117216081,2.28920902904252,0
"No Cre:KClResp-No Cre:BasePeaks",0.534052296898468,0.162844699689416,0.90525989410752,4.44409520167222e-05
"HET:KClResp-No Cre:BasePeaks",0.53864181095856,0.211074681986,0.866208939931119,6.06982560324987e-07
"KO:KClResp-No Cre:BasePeaks",0.525299923105789,0.188625994664931,0.861973851546646,3.76693579262621e-06
"KO:BasePeaks-HET:BasePeaks",-0.196202708133797,-0.484047245774183,0.0916418295065878,0.691983157961248
"No Cre:GlucOsc-HET:BasePeaks",-0.821783363261712,-1.14935049223427,-0.494216234289152,2.9831692671678e-13
